,source,relation,destination
11430,Nacional Empresarial Turístico,asking for,sector
11431,Tourism,provide,million 4 jobs
11432,Tourism,provide,Mexico
11433,93 %,provide,companies
11434,93 %,have,ten employees
11435,COVID-19,forced,closure
11436,COVID-19,forced,"4,000 hotels"
11437,airline industry,lose through,MXN
11438,airline industry,lose through,US$ 1.3 March
11439,association,predicted,decrease
11440,association,predicted,domestic sales
11441,association,predicted,16 % and
11442,association,predicted,25 2020
11443,COVID-19,subtract from,US$ 5.8 billion
11444,COVID-19,subtract from,GDP
11445,viral outbreak,cited by,many companies
11446,viral outbreak,cited by,briefings
11447,viral outbreak,cited by,shareholders
11448,many companies,maintained,briefings
11449,many companies,affected by,term disruption
11450,many companies,affected by,limited exposure
11451,many companies,affected by,Chinese consumer market
11452,large corporations,exploit,crisis
11453,large corporations,exploit,economic gain
11454,large corporations,exploit,line
11455,large corporations,exploit,Shock Doctrine
11456,large corporations,occurred after,past pandemics
11457,Silicon Valley representatives,expressed,worries
11458,Silicon Valley representatives,expressed,serious disruption
11459,Silicon Valley representatives,expressed,production lines
11460,much,expressed,technology sector
11461,much,rely on,factories
11462,much,rely on,mainland China
11463,full effects,scheduled,outbreak
11464,full effects,scheduled,tech sector
11465,full effects,be,31 January 2020
11466,full effects,according to,Wall Street Journal
11467,Cities,see,increase
11468,Cities,see,demand
11469,Cities,see,face masks
11470,Cities,protect against,virus
11471,many,purchasing,masks
11472,many,mail to,relatives
11473,many,mail to,mainland China
11474,many,is,masks
11475,many stores,sell out,masks
11476,mask shortage,caused,increase
11477,mask shortage,caused,prices
11478,Universities,warned about,significant impact
11479,Universities,warned about,Universities
11480,Universities,warned about,United States income
11481,Universities,warned about,large number
11482,Universities,warned about,Chinese international students
11483,Universities,attend,classes
11484,Washington Post,reported in,February
11485,President Donald Trump,tell,advisors
11486,government,do,anything
11487,government,spook,stock market
11488,government,spook,concerns
11489,scale outbreak,hurt,outbreak reelection chances
11490,New York Times,reported On,case
11491,New York Times,reported On,California
11492,New York Times,reported On,which
11493,Center,reported On,Disease Control
11494,Center,confirmed as,first possible community transmission
11495,Center,confirmed as,coronavirus
11496,Center,confirmed as,United States
11497,New York Times,reported On,delay
11498,New York Times,reported On,diagnosis
11499,New York Times,reported On,community transmission case
11500,New York Times,reported On,California
11501,allegation,discussed on,'s
11502,allegation,discussed on,ineptitude
11503,allegation,discussed on,preparedness
11504,allegation,discussed on,Air Force Base
11505,allegation,discussed on,Fairfield
11506,allegation,discussed on,Riverside County
11507,allegation,receive for,possible coronavirus transmitters
11508,allegation,receive for,diagnosis and
11509,same day report,forecast,forecast
11510,American companies,generate in,earnings growth
11511,American companies,generate in,2020
11512,American companies,wiping,earnings recovery
11513,American companies,expected for,year
11514,American companies,expected for,lackluster profit reports
11515,American companies,expected for,most
11516,American companies,expected for,2019
11517,U.S. stocks,were,U.S. stocks
11518,U.S. stocks,were,largest loss
11519,U.S. stocks,were,week
11520,U.S. stocks,were,2008
11521,Jones Industrial Average,fall in,one day
11522,average,dropped below,25000
11523,Dow Jones,ended down,week
11524,Stocks,fall to,"18,592 points"
11525,Stocks,fall to,23 Dow March
11526,procedural Senate vote,fall to,coronavirus economic stimulus bill
11527,procedural Senate vote,failed for,second time
11528,procedural Senate vote,failed for,two days
11529,US stocks,fall by,7 percent
11530,US stocks,triggering,temporary halt
11531,US stocks,triggering,trading
11532,US stocks,aided by,2020 Russia
11533,rest,announced On,Basketball Association season
11534,Collegiate Athletic Association,announced,that
11535,Collegiate Athletic Association,announced,Collegiate Athletic Association
11536,basketball tournaments,played without,fans
11537,Collegiate Athletic Association,cancel,basketball tournaments
11538,championship events,announced,sports
11539,championship events,cancelled until,2020–21
11540,Deep South states,reported on,April 6
11541,70 %,reported on,Deep South states
11542,70 %,reported on,such Alabama
11543,deaths,involved,African Americans
11544,African Americans,have,poor living conditions
11545,African Americans,including,dense urban environments and
11546,African Americans,influenced by,conditions
11547,African Americans,influenced by,health insurance coverage
11548,African Americans,exacerbate,It impact
11549,a quarter,pay In,full housing costs
11550,others,make,full payment
11551,difficulties,experienced by,many tenants
11552,difficulties,experienced by,pandemic
11553,difficulties,sparked,movement
11554,difficulties,cancel,rent
11555,difficulties,advocated by,activists
11556,male unemployment,increased According,million
11557,male unemployment,increased According,February
11558,male unemployment,increased According,11 million
11559,male unemployment,increased According,April 2020
11560,female unemployment,increased According,crisis men 's
11561,female unemployment,rise from,2.7 million
11562,female unemployment,rise from,11.5 million
11563,female unemployment,rise from,same period
11564,Ipsos poll,revealed In,racial disparities
11565,Ipsos poll,revealed In,adult workers
11566,who,furloughed since,beginning
11567,who,furloughed since,outbreak
11568,layoffs,affected,20 percent
11569,layoffs,affected,Hispanic workers
11570,layoffs,affected,black workers
11571,layoffs,affected,white workers
11572,layoffs,affected,12 workers
11573,layoffs,affected,other races
11574,Many workers,lay as,result
11575,Many workers,lay as,business closures
11576,Many workers,lay as,public events
11577,national unemployment rate,reported as,14.7 %
11578,record keeping,begin in,1948
11579,rise,protracted,nationwide civil unrest
11580,"42,000 health care workers",lose,"42,000 care workers jobs"
11581,"42,000 health care workers",lose,March
11582,"42,000 health care workers",lose,1.4 April
11583,most hospitals,postponed,essential procedures
11584,who,doing,jobs
11585,who,doing,others
11586,credit card debt,is,country
11587,credit card debt,fall below,$ 1 trillion
11588,credit card debt,fall below,May 2020
11589,credit card debt,fall below,first time
11590,credit card debt,fall below,May 2011
11591,credit card debt,declining for,previous three months
11592,job reports,validated after,decline
11593,million three jobs,added in,June 2020
11594,million three jobs,compared to,million 20 jobs lost
11595,million three jobs,compared to,pandemic
11596,COVID-19,caused by,significant decline
11597,COVID-19,caused by,labor demand
11598,COVID-19,caused by,much as 30 %
11599,COVID-19,measured by,number
11600,COVID-19,measured by,job advertisements
11601,pandemic,result in,noticeable changes
11602,pandemic,result in,advertised wages
11603,impact,expected,parts
11604,impact,expected,economy
11605,impact,expected,recent coronavirus spread
11606,pandemic,worsen,deployment
11607,pandemic,worsen,vaccines
11608,pandemic,worsen,Q2 2021
11609,pandemic,worsen,which
11610,economy,see after,sharp recovery
11611,economy,see after,U.S. economic activity
11612,Latin American countries,facing before,low economic growth
11613,Latin American countries,facing before,COVID-19
11614,region,averaging in,0.4 %
11615,region,averaging in,growth
11616,region,averaging in,2019
11617,what,described as,vicious circle
11618,what,described as,quality jobs
11619,what,described as,volatile one
11620,what,described as,five
11621,what,described as,ages
11622,what,find,job
11623,economic impact,caused by,COVID-19
11624,economic impact,exarcebated by,many lack
11625,economic impact,exarcebated by,reserve funds
11626,economic impact,exarcebated by,times
11627,economic impact,exarcebated by,crisis
11628,50 people,fall below,poverty line
11629,50 people,set at,US$ 5.60
11630,50 people,set at,day
11631,many countries,fall into,debt
11632,LAC region,experiencing,biggest contraction
11633,LAC region,emerging,markets and
11634,World Economic Outlook,reported in,GDP contraction
11635,World Economic Outlook,reported in,8.1
11636,World Economic Outlook,reported in,cent
11637,World Economic Outlook,reported in,Latin America
11638,World Economic Outlook,reported in,2020
11639,region,experiencing since,weakest period
11640,region,experiencing since,growth
11641,region,experiencing since,1950
11642,Argentina,entered On,wide lockdown
11643,Argentina,announced,extension
11644,Argentina,announced,lockdown
11645,Argentina,end on,31 March
11646,Argentina,end on,April
11647,lockdown,extended in,major cities
11648,lockdown,extended in,26 April
11649,executive,decreed In,payment
11650,executive,decreed In,time welfare benefit
11651,executive,employed,taxpayers left
11652,executive,employed,sources
11653,executive,employed,income
11654,executive,employed,income household
11655,official reports,showed On,record 19 % year year
11656,official reports,showed On,drop
11657,official reports,showed On,GDP
11658,official reports,showed On,second quarter
11659,official reports,showed On,2020
11660,official reports,showed On,biggest history
11661,Investment,fall from,previous year
11662,Two Brazilian banks,predicted,deceleration
11663,Two Brazilian banks,predicted,economic growth
11664,Two Brazilian banks,predicted,China
11665,UBS,reviewed from,UBS estimations
11666,UBS,reviewed from,6 %
11667,UBS,reviewed from,5.4 %
11668,Itaú,stated,reduction
11669,Itaú,stated,5.8 %
11670,current stock,stated,supply
11671,current stock,stated,components
11672,current stock,is,10 to 15 days
11673,three goods,represent,30 %
11674,three goods,represent,Brazilian exports
11675,three goods,represent,China
11676,Aiding,Aiding,downfall
11677,Aiding,reduced,copper
11678,Aiding,reduced,US and
11679,Aiding,reduced,COVID-19
11680,Australia,affected by,epidemic
11681,GDP,have,0.2 % to 0.5 %
11682,country,promise due,budget surplus
11683,country,promise due,outbreak
11684,Australian dollar,dropped to,Australian dollar lowest value
11685,Australian dollar,dropped to,Great Recession
11686,Australasian College,called for,calm and
11687,Australasian College,based,epidemic
11688,Australasian College,asking,people
11689,Australasian College,avoid,racism
11690,Australasian College,avoid,misinformation
11691,large amount,purchased by,foreign buyers
11692,large amount,sparked,nationwide face masks shortage
11693,Pharmaceutical Society,called on,unethical suppliers
11694,Pharmaceutical Society,keep,supplies
11695,total economic cost,suggested,sector
11696,total economic cost,suggested,11 February 2020
11697,two localities,lose,earnings
11698,two localities,lose,more that $ 600 million
11699,Tourism Industry Council,called on,Government
11700,Tourism Industry Council,called on,Australia
11701,Tourism Industry Council,called on,financial support
11702,Tourism Industry Council,called on,light
11703,Tourism Industry Council,called on,large number
11704,Tourism Industry Council,called on,small businesses affected
11705,Mining companies,exposed to,outbreak
11706,sales,exposed to,China
